strata,population
Demsa,24943
Fufore,37314
Ganye,34908
Girei,37920
Gombi,31606
Guyuk,22749
Hong,48228
Jada,27836
Lamurde,17822
Madagali,4607
Maiha,8154
Mayo-Belwa,30235
Michika,25413
Mubi North,25457
Mubi South,22664
Numan,26605
Shelleng,17524
Song,42738
Toungo,9003
Yola North,42502
Yola South,63770
Askira/Uba,15893
Bama,35064
Bayo,24813
Biu,40893
Chibok,11887
Damboa,24905
Dikwa,23146
Gubio,6288
Gwoza,53402
Hawul,51240
Jere,97778
Kaga,18702
Kala/Balge,6000
Konduga,40824
Kwaya Kusar,23387
Mafa,6897
Magumeri,16400
Maiduguri,155544
Mobbar,13767
Monguno,46053
Ngala,30270
Shani,19308
Bade,19420
Bursari,16315
Damaturu,38735
Fika,22655
Fune,33672
Gujba,22504
Gulani,8145
Jakusko,19144
Karasuwa,12881
Machina,13992
Nangere,20530
Nguru,22165
Potiskum,57083
Tarmua,18616
Yunusari,1755
Yusufari,22326
